exchange,quote_asset,volume_bucket,cap_bucket,symbol,base_symbol,market_cap,source_file
binance,USDT,1M-5M,100M-500M,BINANCE:INJUSDT.P,INJ,476291498,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:IOTAUSDT.P,IOTA,167014982,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:JASMYUSDT.P,JASMY,223104928,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:JTOUSDT,JTO,390305502,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:JTOUSDT.P,JTO,390305502,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:KAIAUSDT.P,KAIA,202540901,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:KAITOUSDT,KAITO,150143829,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:KAITOUSDT.P,KAITO,150143829,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:KITEUSDT,KITE,284944465,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:KITEUSDT.P,KITE,284944465,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:LDOUSDT,LDO,241540583,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:LDOUSDT.P,LDO,241540583,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:LUNCUSDT,LUNC,336847614,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:MANAUSDT.P,MANA,135366592,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:MONUSDT.P,MON,295398708,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:NEOUSDT.P,NEO,138677951,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:OPUSDT,OP,226783029,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:OPUSDT.P,OP,226783029,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:PENDLEUSDT,PENDLE,243358022,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:PENDLEUSDT.P,PENDLE,243358022,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:PENGUUSDT,PENGU,417279171,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:PENGUUSDT.P,PENGU,417279171,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:PIEVERSEUSDT.P,PIEVERSE,186166717,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:PRLUSDT.P,PRL,109664859,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:PYTHUSDT,PYTH,351000097,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:PYTHUSDT.P,PYTH,351000097,binance_USDT_perp_pairs_07-jul-26.txt
